deduction_id,retailer_id,deduction_date,deduction_type,amount,code_as_remitted,translated_code,standardized_category,order_id,shipment_id,remittance_id,remittance_description,dispute_deadline,is_vague,is_post_audit,is_double_dip,dispute_outcome,recovered_amount,dispute_filed_date,dispute_closed_date,days_outstanding,in_trailing_window,is_ghost_promo
DED-0000730,prairie_provisions,2026-05-02,vague,3462.82,MISC,Miscellaneous,vague,,,REM-PRAI-00041,Code 90: Other,,1,0,0,,,,,,1,0
DED-0002643,walmart,2026-05-02,short_ship,489.69,13,Substitution Overcharge,short_ship,WALM-2026-001418,WALM-2026-001418-S1,REM-WALM-00070,Short ship: receiving hand-count 3 units short,2027-05-02,0,0,0,abandoned,0.0,2026-05-02,2026-06-09,38,1,0
DED-0000670,mountain_pantry_co,2026-05-02,late_delivery,27.53,LATE,Late delivery,late_delivery,MOUN-2026-000166,MOUN-2026-000166-S1,REM-MOUN-00035,Late delivery — 8 days past window,,0,0,0,,,,,,1,0
DED-0003082,unfi,2026-05-01,promo_billback,534.61,MCB,Manufacturer chargeback (promo),promo_billback,,,REM-UNFI-00072,Post-audit allowance reconciliation — period 2023-05-21 to 2024-01-12,2026-06-30,0,1,0,,,,,,1,0
DED-0002644,walmart,2026-05-01,short_ship,343.51,13,Substitution Overcharge,short_ship,WALM-2026-001421,WALM-2026-001421-S1,REM-WALM-00070,Short ship: 3 units missing,2027-05-01,0,0,0,won_full,343.51,2026-05-02,2026-07-28,88,1,0
DED-0001259,unfi,2026-05-01,promo_billback,336.4,MCB,Manufacturer chargeback (promo),promo_billback,UNFI-2026-000893,UNFI-2026-000893-S1,REM-UNFI-00072,Promo billback (MCB / scan-down),2026-06-30,0,0,0,,,,,,1,0
DED-0002663,walmart,2026-05-01,short_ship,239.79,13,Substitution Overcharge,short_ship,WALM-2026-001479,WALM-2026-001479-S1,REM-WALM-00070,Short ship: receiving hand-count 2 units short,2027-05-01,0,0,0,,,,,,1,0
DED-0000736,prairie_provisions,2026-05-01,label_fine,234.66,LBL,Label fine,label_fine,PRAI-2026-000241,PRAI-2026-000241-S1,REM-PRAI-00041,Label noncompliance — generic label not retailer-spec,,0,0,0,lost_other,0.0,2026-05-02,2026-06-19,49,1,0
DED-0000735,prairie_provisions,2026-05-01,short_ship,183.64,SHRT,Shortage,short_ship,PRAI-2026-000241,PRAI-2026-000241-S1,REM-PRAI-00041,Short ship: 2 units missing,,0,0,0,pending,0.0,2026-05-02,,1,1,0
DED-0003004,whole_foods,2026-05-01,pallet_fine,86.74,PALT,Pallet fine,pallet_fine,WHOL-2026-000849,WHOL-2026-000849-S1,REM-WHOL-00067,Pallet noncompliance,,0,0,0,,,,,,1,0
DED-0003064,costco,2026-04-30,label_fine,13995.02,LBL,Labeling noncompliance,label_fine,,,REM-COST-00040,Post-audit compliance findings — period 2022-05-25 to 2023-05-17,,0,1,0,lost_evidence,0.0,2026-05-02,2026-05-29,29,1,0
DED-0003080,unfi,2026-04-30,vague,5599.51,MSC,Miscellaneous deduction,vague,,,REM-UNFI-00072,Post-audit freight chargeback — period 2023-03-31 to 2024-02-11,,0,1,0,pending,0.0,2026-05-02,,2,1,0
DED-0003061,walmart,2026-04-30,label_fine,2748.59,,Unmapped,label_fine,,,REM-WALM-00070,Post-audit compliance findings — period 2024-06-10 to 2024-12-07,,0,1,0,lost_no_response,0.0,2026-05-02,2026-05-26,26,1,0
DED-0000802,southside_grocers,2026-04-30,late_delivery,79.06,LATE,Late delivery,late_delivery,SOUT-2026-000265,SOUT-2026-000265-S1,REM-SOUT-00039,Late delivery — 1 days past window,,0,0,0,,,,,,1,0
DED-0003060,walmart,2026-04-29,label_fine,7313.37,,Unmapped,label_fine,,,REM-WALM-00070,Post-audit compliance findings — period 2024-06-10 to 2024-12-07,,0,1,0,pending,0.0,2026-05-02,,3,1,0
DED-0003070,kehe,2026-04-29,vague,5032.26,FRT,Freight allowance,vague,,,REM-KEHE-00069,Post-audit freight chargeback — period 2024-07-29 to 2025-05-06,2026-10-26,0,1,0,pending,0.0,2026-05-02,,3,1,0
DED-0003079,unfi,2026-04-29,vague,3430.8,MSC,Miscellaneous deduction,vague,,,REM-UNFI-00072,Post-audit freight chargeback — period 2023-03-31 to 2024-02-11,,0,1,0,,,,,,1,0
DED-0003050,walmart,2026-04-29,vague,1875.24,87,Other,vague,,,REM-WALM-00070,Post-audit freight chargeback — period 2024-05-13 to 2025-05-06,,0,1,0,,,,,,1,0
DED-0000625,kehe,2026-04-29,promo_billback,449.0,MCB,Manufacturer Chargeback (promo),promo_billback,KEHE-2026-000744,KEHE-2026-000744-S1,REM-KEHE-00069,Promo billback (MCB / scan-down),2026-10-26,0,0,0,pending,0.0,2026-05-02,,3,1,1
DED-0003002,whole_foods,2026-04-29,late_delivery,94.33,LATE,Late delivery,late_delivery,WHOL-2026-000839,WHOL-2026-000839-S1,REM-WHOL-00067,Late delivery — 1 days past window,,0,0,0,,,,,,1,0
DED-0001260,unfi,2026-04-29,short_ship,75.55,SHT,Shortage,short_ship,UNFI-2026-000895,UNFI-2026-000895-S1,REM-UNFI-00072,Short ship: 1 units missing,2026-06-28,0,0,0,,,,,,1,0
DED-0000734,prairie_provisions,2026-04-29,short_ship,75.0,SHRT,Shortage,short_ship,PRAI-2026-000231,PRAI-2026-000231-S1,REM-PRAI-00041,Short ship: 1 units missing,,0,0,0,lost_evidence,0.0,2026-05-02,2026-07-16,78,1,0
DED-0003065,costco,2026-04-28,label_fine,15658.74,LBL,Labeling noncompliance,label_fine,,,REM-COST-00040,Post-audit compliance findings — period 2022-05-25 to 2023-05-17,,0,1,0,lost_evidence,0.0,2026-05-02,2026-07-02,65,1,0
DED-0003081,unfi,2026-04-28,vague,1155.18,MSC,Miscellaneous deduction,vague,,,REM-UNFI-00072,Post-audit freight chargeback — period 2023-03-31 to 2024-02-11,,0,1,0,,,,,,1,0
DED-0002670,walmart,2026-04-28,promo_billback,690.07,11,Price Difference Between PO & Invoice,promo_billback,WALM-2026-001493,WALM-2026-001493-S1,REM-WALM-00070,Promo billback (MCB / scan-down),2028-04-27,0,0,0,,,,,,1,0
DED-0002660,walmart,2026-04-28,short_ship,179.09,13,Substitution Overcharge,short_ship,WALM-2026-001476,WALM-2026-001476-S1,REM-WALM-00070,Short ship: receiving hand-count 2 units short,2027-04-28,0,0,0,pending,0.0,2026-05-02,,4,1,0
DED-0002999,whole_foods,2026-04-28,spoilage,96.36,SPL,Spoilage / quality at receipt,spoilage,WHOL-2026-000827,WHOL-2026-000827-S1,REM-WHOL-00067,Spoilage — temperature abuse in transit,,0,0,0,,,,,,1,0
DED-0000626,kehe,2026-04-28,label_fine,84.92,LBL,Labeling noncompliance,label_fine,KEHE-2026-000780,KEHE-2026-000780-S1,REM-KEHE-00069,Label noncompliance — generic label not retailer-spec,2026-10-25,0,0,0,,,,,,1,0
DED-0003051,walmart,2026-04-27,vague,4342.7,87,Other,vague,,,REM-WALM-00070,Post-audit freight chargeback — period 2024-05-13 to 2025-05-06,,0,1,0,,,,,,1,0
DED-0001249,unfi,2026-04-27,promo_billback,501.35,MCB,Manufacturer chargeback (promo),promo_billback,UNFI-2026-000864,UNFI-2026-000864-S1,REM-UNFI-00072,Promo billback (MCB / scan-down),2026-06-26,0,0,0,,,,,,1,0
DED-0002671,walmart,2026-04-27,label_fine,275.48,,Unmapped,label_fine,WALM-2026-001497,WALM-2026-001497-S1,REM-WALM-00070,Label noncompliance — generic label not retailer-spec,,0,0,0,lost_evidence,0.0,2026-05-02,2026-07-20,84,1,0
DED-0001258,unfi,2026-04-27,promo_billback,275.16,MCB,Manufacturer chargeback (promo),promo_billback,UNFI-2026-000887,UNFI-2026-000887-S1,REM-UNFI-00072,Promo billback (MCB / scan-down),2026-06-26,0,0,0,,,,,,1,0
DED-0002998,whole_foods,2026-04-27,late_delivery,136.29,LATE,Late delivery,late_delivery,WHOL-2026-000824,WHOL-2026-000824-S1,REM-WHOL-00067,Late delivery — 3 days past window,,0,0,0,,,,,,1,0
DED-0003062,walmart,2026-04-26,label_fine,7266.97,,Unmapped,label_fine,,,REM-WALM-00069,Post-audit compliance findings — period 2024-06-10 to 2024-12-07,,0,1,0,lost_evidence,0.0,2026-05-02,2026-06-30,65,1,0
DED-0002653,walmart,2026-04-26,label_fine,239.84,,Unmapped,label_fine,WALM-2026-001443,WALM-2026-001443-S1,REM-WALM-00069,Label noncompliance — generic label not retailer-spec,,0,0,0,lost_evidence,0.0,2026-05-02,2026-06-13,48,1,0
DED-0002652,walmart,2026-04-26,short_ship,231.43,13,Substitution Overcharge,short_ship,WALM-2026-001443,WALM-2026-001443-S1,REM-WALM-00069,Short ship: receiving hand-count 2 units short,2027-04-26,0,0,0,pending,0.0,2026-05-02,,6,1,0
DED-0000159,green_basket_market,2026-04-26,short_ship,136.8,SHRT,Shortage,short_ship,GREE-2026-000268,GREE-2026-000268-S1,REM-GREE-00046,Short ship: 2 units missing,,0,0,0,,,,,,1,0
DED-0002996,whole_foods,2026-04-26,short_ship,75.0,SHRT,Shortage,short_ship,WHOL-2026-000818,WHOL-2026-000818-S1,REM-WHOL-00066,Short ship: 1 units missing,,0,0,0,,,,,,1,0
DED-0003078,unfi,2026-04-25,promo_billback,5830.36,MCB,Manufacturer chargeback (promo),promo_billback,,,REM-UNFI-00071,Post-audit allowance reconciliation — period 2024-05-30 to 2025-02-05,2026-06-24,0,1,0,,,,,,1,0
DED-0003063,costco,2026-04-25,promo_billback,3530.43,PROMO,Promotional allowance,promo_billback,,,REM-COST-00039,Post-audit allowance reconciliation — period 2023-05-05 to 2024-04-11,,0,1,0,pending,0.0,2026-05-02,,7,1,0
DED-0002658,walmart,2026-04-25,vague,567.11,30,Duplicate Billing,vague,WALM-2026-001461,WALM-2026-001461-S1,REM-WALM-00069,Audit adjustment,,1,0,0,,,,,,1,0
DED-0002672,walmart,2026-04-25,short_ship,320.2,13,Substitution Overcharge,short_ship,WALM-2026-001498,WALM-2026-001498-S1,REM-WALM-00069,Short ship: receiving hand-count 3 units short,2027-04-25,0,0,0,pending,0.0,2026-05-02,,7,1,0
DED-0002664,walmart,2026-04-25,short_ship,314.2,13,Substitution Overcharge,short_ship,WALM-2026-001481,WALM-2026-001481-S1,REM-WALM-00069,Short ship: receiving hand-count 3 units short,2027-04-25,0,0,0,,,,,,1,0
DED-0002657,walmart,2026-04-25,short_ship,270.23,13,Substitution Overcharge,short_ship,WALM-2026-001461,WALM-2026-001461-S1,REM-WALM-00069,Short ship: receiving hand-count 4 units short,2027-04-25,0,0,0,,,,,,1,0
DED-0002673,walmart,2026-04-25,label_fine,263.33,,Unmapped,label_fine,WALM-2026-001498,WALM-2026-001498-S1,REM-WALM-00069,Label noncompliance — generic label not retailer-spec,,0,0,0,won_full,263.33,2026-05-02,2026-07-02,68,1,0
DED-0001262,unfi,2026-04-25,late_delivery,250.0,LAT,Late delivery,late_delivery,UNFI-2026-000898,UNFI-2026-000898-S1,REM-UNFI-00071,Late delivery — 2 days past window,2026-06-24,0,0,0,lost_evidence,0.0,2026-05-02,2026-06-02,38,1,0
DED-0000803,southside_grocers,2026-04-25,vague,241.35,MISC,Miscellaneous,vague,SOUT-2026-000271,SOUT-2026-000271-S1,REM-SOUT-00038,Audit adjustment,,1,0,0,,,,,,1,0
DED-0002655,walmart,2026-04-25,short_ship,223.23,13,Substitution Overcharge,short_ship,WALM-2026-001445,WALM-2026-001445-S1,REM-WALM-00069,Short ship: 2 units missing,2027-04-25,0,0,0,,,,,,1,0
DED-0001261,unfi,2026-04-25,pallet_fine,137.6,PLT,Pallet noncompliance,pallet_fine,UNFI-2026-000898,UNFI-2026-000898-S1,REM-UNFI-00071,Pallet noncompliance,2026-06-24,0,0,0,,,,,,1,0
DED-0002997,whole_foods,2026-04-25,short_ship,97.4,SHRT,Shortage,short_ship,WHOL-2026-000821,WHOL-2026-000821-S1,REM-WHOL-00066,Short ship: qty units missing,,0,0,0,,,,,,1,0
